job_title,text,type,relevance
Instructor I,Participated in faculty development program about climate studies,training,0.1
Instructor I,Participated in accreditation preparation for statistics,experience,0.08
Instructor I,Served as faculty member in the pedagogy Department,experience,0.06
Instructor I,Finished online course on public policy,training,0.1
Instructor I,Attended international conference about educational technology,training,0.47
Instructor I,Worked as mathematics Specialist at 6 company for IT years,experience,0.0
Instructor I,Organized faculty development seminars on educational technology,experience,0.5
Instructor I,Participated in accreditation preparation for classroom management,experience,0.23
Instructor I,Served as faculty member in the leadership in education Department,experience,0.45
Instructor I,Conducted corporate training on research methodology,experience,0.05
Instructor I,Participated in faculty development program about climate studies,training,0.01
Instructor I,Developed syllabus and lesson plans for statistics classes,experience,0.4
Instructor I,Served as faculty member in the statistics Department,experience,0.02
Instructor I,Completed training workshop on psychology,training,0.08
Instructor I,Served as Research Assistant on a project about project-based learning,experience,0.29
Instructor I,Attended seminar on climate studies,training,0.02
Instructor I,Attended seminar on philosophy,training,0.06
Instructor I,Taught assessment design to undergraduate students for 1 years,experience,0.42
Instructor I,Conducted field research on assessment design for a funded study,experience,0.27
Instructor I,Completed training workshop on psychology,training,0.01
Instructor I,Completed training workshop on statistics,training,0.08
Instructor I,Advised undergraduate thesis groups on classroom management topics,experience,0.19
Instructor I,Finished online course on curriculum development,training,0.47
Instructor I,Handled project-based learning courses and supervised student projects,experience,0.48
Instructor I,Published papers on digital learning in peer-reviewed journals,experience,0.05
Instructor I,Served as Department Coordinator for pedagogy programs,experience,0.05
Instructor I,Organized faculty development seminars on psychology,experience,0.01
Instructor I,Developed syllabus and lesson plans for climate studies classes,experience,0.34
Instructor I,Completed training workshop on project-based learning,training,0.09
Instructor I,Collaborated with faculty researchers in educational technology,experience,0.43
Instructor I,Participated in faculty development program about STEM education,training,0.47
Instructor I,Completed training workshop on digital learning,training,0.03
Instructor I,Served as Consultant on psychology for private firms,experience,0.0
Instructor I,Handled philosophy courses and supervised student projects,experience,0.45
Instructor I,Handled academic writing courses and supervised student projects,experience,0.49
Instructor I,Conducted corporate training on assessment design,experience,0.0
Instructor I,Served as Consultant on public policy for private firms,experience,0.0
Instructor I,Attended international conference about philosophy,training,0.05
Instructor I,Completed training workshop on research methodology,training,0.27
Instructor I,Completed training workshop on ICT integration,training,0.05
Instructor I,Taught communication skills to undergraduate students for 10 years,experience,0.5
Instructor I,Developed syllabus and lesson plans for psychology classes,experience,0.35
Instructor I,Supervised undergraduate thesis on assessment design,experience,0.04
Instructor I,Organized faculty development seminars on psychology,experience,0.06
Instructor I,Worked as ICT integration Specialist at 2 company for Finance years,experience,0.0
Instructor I,Worked as data analytics Specialist at 5 company for Manufacturing years,experience,0.0
Instructor I,Completed training workshop on mathematics,training,0.05
Instructor I,Attended seminar on assessment design,training,0.06
Instructor I,Attended seminar on educational technology,training,0.43
Instructor I,Worked as Technical Writer for mathematics projects,experience,0.07
Instructor I,Attended international conference about educational technology,training,0.41
Instructor I,Worked as curriculum development Specialist at 6 company for Telecommunications years,experience,0.26
Instructor I,Completed training workshop on curriculum development,training,0.43
Instructor I,Supervised undergraduate thesis on digital learning,experience,0.07
Instructor I,Attended international conference about STEM education,training,0.5
Instructor I,Published papers on pedagogy in peer-reviewed journals,experience,0.09
Instructor I,Conducted remedial classes and tutorials in research methodology,experience,0.48
Instructor I,Presented research on pedagogy at international conferences,experience,0.29
Instructor I,Handled administrative reports related to climate studies,experience,0.08
Instructor I,Participated in faculty development program about ICT integration,training,0.08
Instructor I,Published papers on educational technology in peer-reviewed journals,experience,0.44
Instructor I,Attended seminar on mathematics,training,0.04
Instructor I,Attended international conference about research methodology,training,0.34
Instructor I,Presented research on pedagogy at international conferences,experience,0.35
Instructor I,Attended seminar on classroom management,training,0.21
Instructor I,Participated in faculty development program about STEM education,training,0.46
Instructor I,Collaborated with faculty researchers in philosophy,experience,0.28
Instructor I,Attended seminar on academic writing,training,0.09
Instructor I,Supervised undergraduate thesis on STEM education,experience,0.49
Instructor I,Attended international conference about research methodology,training,0.32
Instructor I,Served as Research Assistant on a project about academic writing,experience,0.32
Instructor I,Finished online course on ICT integration,training,0.06
Instructor I,Served as Department Coordinator for project-based learning programs,experience,0.06
Instructor I,Finished online course on psychology,training,0.08
Instructor I,Participated in faculty development program about digital learning,training,0.04
Instructor I,Finished online course on communication skills,training,0.04
Instructor I,Participated in accreditation preparation for statistics,experience,0.07
Instructor I,Attended international conference about public policy,training,0.03
Instructor I,Served as Research Assistant on a project about climate studies,experience,0.26
Instructor I,Published papers on statistics in peer-reviewed journals,experience,0.08
Instructor I,Organized faculty development seminars on STEM education,experience,0.42
Instructor I,Finished online course on project-based learning,training,0.02
Instructor I,Advised undergraduate thesis groups on STEM education topics,experience,0.42
Instructor I,Attended seminar on psychology,training,0.02
Instructor I,Organized faculty development seminars on data analytics,experience,0.07
Instructor I,Finished online course on public policy,training,0.08
Instructor I,Attended international conference about communication skills,training,0.09
Instructor I,Finished online course on mathematics,training,0.08
Instructor I,Attended international conference about statistics,training,0.06
Instructor I,Finished online course on assessment design,training,0.07
Instructor I,Presented research on research methodology at international conferences,experience,0.34
Instructor I,Served as faculty member in the data analytics Department,experience,0.04
Instructor I,Served as adviser for student organizations in assessment design,experience,0.44
Instructor I,Finished online course on curriculum development,training,0.42
Instructor I,Finished online course on philosophy,training,0.09
Instructor I,Served as Consultant on project-based learning for private firms,experience,0.0
Instructor I,Participated in faculty development program about project-based learning,training,0.09
Instructor I,Attended international conference about psychology,training,0.08
Instructor I,Handled administrative reports related to climate studies,experience,0.04
Instructor I,Collaborated with faculty researchers in research methodology,experience,0.32
Instructor I,Completed training workshop on public policy,training,0.05
Instructor I,Attended international conference about philosophy,training,0.07
Instructor I,Worked as Technical Writer for STEM education projects,experience,0.49
Instructor I,Handled mathematics courses and supervised student projects,experience,0.43
Instructor I,Participated in faculty development program about research methodology,training,0.33
Instructor I,Participated in faculty development program about STEM education,training,0.43
Instructor I,Handled administrative reports related to educational technology,experience,0.41
Instructor I,Completed training workshop on assessment design,training,0.08
Instructor I,Taught climate studies to undergraduate students for 4 years,experience,0.48
Instructor I,Published papers on data analytics in peer-reviewed journals,experience,0.07
Instructor I,Organized faculty development seminars on mathematics,experience,0.02
Instructor I,Conducted remedial classes and tutorials in ICT integration,experience,0.21
Instructor I,Attended international conference about project-based learning,training,0.04
Instructor I,Developed syllabus and lesson plans for philosophy classes,experience,0.31
Instructor I,Attended international conference about classroom management,training,0.23
Instructor I,Supervised undergraduate thesis on psychology,experience,0.07
Instructor I,Participated in accreditation preparation for research methodology,experience,0.33
Instructor I,Attended seminar on STEM education,training,0.5
Instructor I,Completed training workshop on STEM education,training,0.42
Instructor I,Attended international conference about psychology,training,0.08
Instructor I,Finished online course on philosophy,training,0.03
Instructor I,Developed syllabus and lesson plans for mathematics classes,experience,0.32
Instructor I,Attended international conference about public policy,training,0.07
Instructor I,Attended seminar on statistics,training,0.09
Instructor I,Handled administrative reports related to digital learning,experience,0.08
Instructor I,Participated in faculty development program about public policy,training,0.07
Instructor I,Attended international conference about educational technology,training,0.45
Instructor I,Developed syllabus and lesson plans for climate studies classes,experience,0.35
Instructor I,Handled administrative reports related to statistics,experience,0.08
Instructor I,Served as Research Assistant on a project about climate studies,experience,0.32
